Study_Sample	Species	Downsampling	Companion_Sample	Grouping_Sites	Non_Grouping_Sites	Ratio	Z_Score	P_Val	Significant_Bonferroni
myrxill_1	myrxill	0.01X	CarLac	0	426	0	-1.25	0.10564977366685524	No
myrxill_1	myrxill	0.01X	CarOva	0	426	0	-1.25	0.10564977366685524	No
myrxill_1	myrxill	0.01X	CarCor	2	424	0.4694835680751174	-0.7499999999999999	0.2266273523768682	No
myrxill_1	myrxill	0.025X	CarLac	3	1048	0.285442435775452	-1.3181818181818181	0.09372139523784556	No
myrxill_1	myrxill	0.025X	CarCor	4	1047	0.3805899143672693	-1.2272727272727273	0.10986005128512091	No
myrxill_1	myrxill	0.01X	CarCat	4	422	0.9389671361502347	-0.24999999999999992	0.4012936743170763	No
myrxill_1	myrxill	0.01X	CarPalm	6	420	1.4084507042253522	0.2500000000000001	0.40129367431707624	No
myrxill_1	myrxill	0.05X	CarLac	6	2047	0.2922552362396493	-1.0833333333333333	0.13933024744962208	No
myrxill_1	myrxill	0.05X	CarOva	6	2047	0.2922552362396493	-1.0833333333333333	0.13933024744962208	No
myrxill_1	myrxill	0.01X	CarAqu	7	419	1.643192488262911	0.5000000000000002	0.3085375387259869	No
myrxill_1	myrxill	0.025X	CarOva	9	1042	0.8563273073263558	-0.7727272727272728	0.21984190130278577	No
myrxill_1	myrxill	0.05X	CarCor	9	2044	0.438382854359474	-0.9166666666666665	0.17965866916478543	No
myrxill_1	myrxill	0.025X	CarPalm	14	1037	1.3320647002854424	-0.3181818181818182	0.37517351182584857	No
myrxill_1	myrxill	0.1X	CarCor	14	4057	0.34389584868582657	-1.0352941176470587	0.15026578805863428	No
myrxill_1	myrxill	0.1X	CarOva	15	4056	0.36845983787767134	-1.0117647058823527	0.15582528451884	No
myrxill_1	myrxill	0.1X	CarLac	16	4055	0.39302382706951605	-0.9882352941176471	0.16151871332923726	No
myrxill_1	myrxill	0.05X	CarPalm	18	2035	0.876765708718948	-0.4166666666666666	0.3384611195106897	No
myrxill_1	myrxill	0.025X	CarAqu	21	1030	1.9980970504281639	0.31818181818181834	0.37517351182584857	No
myrxill_1	myrxill	0.025X	CarCat	22	1029	2.093244529019981	0.40909090909090906	0.34123647374974087	No
myrxill_1	myrxill	0.25X	CarOva	28	9477	0.2945817990531299	-1.2608695652173914	0.10367792254341855	No
myrxill_1	myrxill	0.05X	CarCat	33	2020	1.607403799318071	0.4166666666666666	0.3384611195106897	No
myrxill_1	myrxill	0.25X	CarLac	37	9468	0.389268805891636	-1.1490683229813665	0.1252639045203638	No
myrxill_1	myrxill	0.05X	CarAqu	38	2015	1.8509498295177789	0.6944444444444443	0.2437017648380127	No
myrxill_1	myrxill	0.1X	CarPalm	40	4031	0.9825595676737903	-0.4235294117647059	0.3359545221726372	No
myrxill_1	myrxill	0.25X	CarCor	61	9444	0.6417674907943187	-0.8509316770186336	0.19740365355436884	No
myrxill_1	myrxill	0.5X	CarLac	65	16884	0.38350345153106374	-1.1356589147286822	0.12804967085891952	No
myrxill_1	myrxill	0.5X	CarOva	67	16882	0.3953035577320196	-1.12015503875969	0.13132384993451887	No
myrxill_1	myrxill	0.1X	CarAqu	76	3995	1.8668631785802015	0.4235294117647057	0.3359545221726373	No
myrxill_1	myrxill	0.1X	CarCat	84	3987	2.0633750921149594	0.6117647058823524	0.2703467220754662	No
myrxill_1	myrxill	0.5X	CarCor	98	16851	0.5782052038468346	-0.8798449612403101	0.18947165205564173	No
myrxill_1	myrxill	0.25X	CarPalm	113	9392	1.1888479747501315	-0.20496894409937888	0.4187981944444487	No
myrxill_1	myrxill	0.25X	CarAqu	146	9359	1.5360336664913203	0.20496894409937888	0.4187981944444487	No
myrxill_1	myrxill	0.5X	CarPalm	158	16791	0.9322083898755089	-0.4147286821705426	0.33917026651938087	No
myrxill_1	myrxill	0.25X	CarCat	170	9335	1.788532351394003	0.5031055900621118	0.30744501835245036	No
myrxill_1	myrxill	0.01X	CarIll	186	240	43.66197183098591	45.24999999999999	0	Yes
myrxill_1	myrxill	0.01X	CarMyr	221	205	51.87793427230047	54.00000000000001	0	Yes
myrxill_1	myrxill	0.5X	CarAqu	265	16684	1.5635140716266447	0.4147286821705426	0.33917026651938087	No
myrxill_1	myrxill	0.5X	CarCat	306	16643	1.8054162487462388	0.7325581395348837	0.23191398515577935	No
myrxill_1	myrxill	0.025X	CarIll	429	622	40.818268315889625	37.40909090909091	1.3901776627371413e-306	Yes
myrxill_1	myrxill	0.025X	CarMyr	549	502	52.23596574690771	48.31818181818182	0	Yes
myrxill_1	myrxill	0.05X	CarIll	944	1109	45.981490501704826	51.02777777777778	0	Yes
myrxill_1	myrxill	0.05X	CarMyr	999	1054	48.660496833901604	54.08333333333333	0	Yes
myrxill_1	myrxill	0.1X	CarIll	1761	2310	43.257184966838615	40.0705882352941	0	Yes
myrxill_1	myrxill	0.1X	CarMyr	2065	2006	50.72463768115942	47.223529411764694	0	Yes
myrxill_1	myrxill	0.25X	CarIll	4127	5378	43.41925302472383	49.65838509316771	0	Yes
myrxill_1	myrxill	0.25X	CarMyr	4823	4682	50.74171488690163	58.30434782608696	0	Yes
myrxill_1	myrxill	0.5X	CarIll	7520	9429	44.36839931559384	56.655038759689916	0	Yes
myrxill_1	myrxill	0.5X	CarMyr	8470	8479	49.97344976104785	64.01937984496122	0	Yes
xbr_1	xbr	0.01X	CarLac	0	387	0	-1	0.15865525393145705	No
xbr_1	xbr	0.01X	CarMyr	0	387	0	-1	0.15865525393145705	No
xbr_1	xbr	0.05X	CarOva	1	1984	0.05037783375314861	-1.1666666666666667	0.12167250457438122	No
xbr_1	xbr	0.01X	CarOva	3	384	0.7751937984496124	-0.3333333333333333	0.36944134018176367	No
xbr_1	xbr	0.01X	CarPalm	3	384	0.7751937984496124	-0.3333333333333333	0.36944134018176367	No
xbr_1	xbr	0.025X	CarOva	3	979	0.30549898167006106	-1.2	0.11506967022170828	No
xbr_1	xbr	0.025X	CarLac	5	977	0.5091649694501018	-1.0666666666666667	0.14306119219550906	No
xbr_1	xbr	0.01X	CarAqu	6	381	1.550387596899225	0.3333333333333333	0.36944134018176367	No
xbr_1	xbr	0.025X	CarMyr	7	975	0.7128309572301426	-0.9333333333333333	0.1753239448522295	No
xbr_1	xbr	0.1X	CarOva	8	3755	0.21259633271326067	-1.07	0.14230965435593917	No
xbr_1	xbr	0.05X	CarLac	9	1976	0.4534005037783375	-0.8333333333333334	0.20232838096364303	No
xbr_1	xbr	0.05X	CarMyr	11	1974	0.5541561712846348	-0.7500000000000001	0.22662735237686812	No
xbr_1	xbr	0.025X	CarPalm	12	970	1.2219959266802443	-0.6	0.2742531177500736	No
