Study_Sample	Species	Downsampling	Companion_Sample	Grouping_Sites	Non_Grouping_Sites	Ratio	Z_Score	P_Val	Significant_Bonferroni	Match
CarAqu_1	CarAqu	0.01X	CarLac	0	530	0	-1.25	0.10564977366685524	No	FALSE
CarAqu_1	CarAqu	0.01X	CarCor	1	529	0.18867924528301888	-0.7499999999999999	0.2266273523768682	No	FALSE
CarAqu_1	CarAqu	0.01X	CarOva	1	529	0.18867924528301888	-0.7499999999999999	0.2266273523768682	No	FALSE
CarAqu_1	CarAqu	0.01X	CarMyr	2	528	0.37735849056603776	-0.24999999999999994	0.4012936743170763	No	FALSE
CarAqu_1	CarAqu	0.025X	CarLac	2	1231	0.16220600162206003	-1.1	0.13566606094638264	No	FALSE
CarAqu_1	CarAqu	0.01X	CarPalm	3	527	0.5660377358490566	0.24999999999999994	0.4012936743170763	No	FALSE
CarAqu_1	CarAqu	0.05X	CarLac	3	2291	0.13077593722755013	-1.206896551724138	0.11373599292006142	No	FALSE
CarAqu_1	CarAqu	0.025X	CarCor	3	1230	0.24330900243309003	-1	0.15865525393145705	No	FALSE
CarAqu_1	CarAqu	0.025X	CarOva	5	1228	0.40551500405515	-0.8	0.21185539858339666	No	FALSE
CarAqu_1	CarAqu	0.05X	CarOva	6	2288	0.26155187445510025	-0.9999999999999999	0.15865525393145705	No	FALSE
CarAqu_1	CarAqu	0.01X	CarCat	7	523	1.3207547169811322	2.2500000000000004	0.012224472655044687	No	FALSE
CarAqu_1	CarAqu	0.1X	CarOva	8	4497	0.17758046614872364	-1.28125	0.10005293447742585	No	FALSE
CarAqu_1	CarAqu	0.025X	CarMyr	12	1221	0.9732360097323601	-0.09999999999999996	0.460172162722971	No	FALSE
CarAqu_1	CarAqu	0.025X	CarPalm	14	1219	1.1354420113544201	0.09999999999999996	0.460172162722971	No	FALSE
CarAqu_1	CarAqu	0.05X	CarPalm	15	2279	0.6538796861377506	-0.3793103448275862	0.35222870929179406	No	FALSE
CarAqu_1	CarAqu	0.1X	CarLac	17	4488	0.37735849056603776	-0.71875	0.23614748497285443	No	FALSE
CarAqu_1	CarAqu	0.05X	CarMyr	19	2275	0.8282476024411508	-0.10344827586206892	0.45880359952026173	No	FALSE
CarAqu_1	CarAqu	0.01X	CarIll	22	508	4.150943396226415	9.75	9.22341352493942e-23	Yes	FALSE
CarAqu_1	CarAqu	0.05X	CarCor	22	2272	0.959023539668701	0.1034482758620692	0.4588035995202616	No	FALSE
CarAqu_1	CarAqu	0.025X	CarCat	23	1210	1.8653690186536902	1	0.15865525393145705	No	FALSE
CarAqu_1	CarAqu	0.1X	CarMyr	25	4480	0.5549389567147613	-0.21875000000000014	0.413422398858449	No	FALSE
CarAqu_1	CarAqu	0.1X	CarPalm	25	4480	0.5549389567147613	-0.21875000000000014	0.413422398858449	No	FALSE
CarAqu_1	CarAqu	0.25X	CarOva	30	11163	0.2680246582685607	-1.076271186440678	0.1409029955147048	No	FALSE
CarAqu_1	CarAqu	0.1X	CarCor	32	4473	0.7103218645948945	0.2187499999999999	0.4134223988584491	No	FALSE
CarAqu_1	CarAqu	0.05X	CarCat	35	2259	1.5257192676547515	1.0000000000000002	0.158655253931457	No	FALSE
CarAqu_1	CarAqu	0.25X	CarLac	39	11154	0.34843205574912894	-0.9237288135593221	0.17781376320548486	No	FALSE
CarAqu_1	CarAqu	0.025X	CarIll	47	1186	3.8118410381184105	3.4000000000000004	3.369292656768805e-4	Yes	FALSE
CarAqu_1	CarAqu	0.5X	CarLac	54	20804	0.25889347013136443	-1.0176211453744493	0.154429017212551	No	FALSE
CarAqu_1	CarAqu	0.5X	CarOva	58	20800	0.27807076421516924	-0.9823788546255506	0.16295661982507426	No	FALSE
CarAqu_1	CarAqu	0.25X	CarCor	67	11126	0.5985884034664523	-0.44915254237288155	0.32666080984095613	No	FALSE
CarAqu_1	CarAqu	0.05X	CarIll	76	2218	3.3129904097646032	3.8275862068965516	6.47030338217435e-5	Yes	FALSE
CarAqu_1	CarAqu	0.25X	CarPalm	90	11103	0.8040739748056821	-0.05932203389830532	0.47634780575218866	No	FALSE
CarAqu_1	CarAqu	0.1X	CarCat	91	4414	2.019977802441731	3.906249999999999	4.686976501645539e-5	Yes	FALSE
CarAqu_1	CarAqu	0.25X	CarMyr	97	11096	0.8666130617350131	0.059322033898304996	0.4763478057521888	No	FALSE
CarAqu_1	CarAqu	0.5X	CarCor	138	20720	0.6616166458912647	-0.27753303964757714	0.3906854199149474	No	FALSE
CarAqu_1	CarAqu	0.1X	CarIll	145	4360	3.218645948945616	7.281249999999997	1.6537055486857162e-13	Yes	FALSE
CarAqu_1	CarAqu	0.5X	CarMyr	148	20710	0.7095598811007767	-0.1894273127753304	0.42487895973520834	No	FALSE
CarAqu_1	CarAqu	0.5X	CarPalm	191	20667	0.9157157925016779	0.18942731277533023	0.4248789597352084	No	FALSE
CarAqu_1	CarAqu	0.25X	CarCat	241	10952	2.1531314214241046	2.4999999999999996	0.006209665325776142	Yes	FALSE
CarAqu_1	CarAqu	0.25X	CarIll	425	10768	3.7970159921379434	5.618644067796609	9.623093822030155e-9	Yes	FALSE
CarAqu_1	CarAqu	0.5X	CarCat	434	20424	2.080736408092818	2.3303964757709252	0.009892602936217642	No	FALSE
CarAqu_1	CarAqu	0.01X	CarAqu	494	36	93.20754716981132	245.75	0	Yes	TRUE
CarAqu_1	CarAqu	0.5X	CarIll	707	20151	3.3895867293124935	4.73568281938326	1.0915940020857228e-6	Yes	FALSE
CarAqu_1	CarAqu	0.025X	CarAqu	1127	106	91.40308191403082	111.4	0	Yes	TRUE
CarAqu_1	CarAqu	0.05X	CarAqu	2118	176	92.32781168265039	144.6551724137931	0	Yes	TRUE
CarAqu_1	CarAqu	0.1X	CarAqu	4162	343	92.38623751387347	258.34374999999994	0	Yes	TRUE
CarAqu_1	CarAqu	0.25X	CarAqu	10204	989	91.16412043241311	171.364406779661	0	Yes	TRUE
CarAqu_1	CarAqu	0.5X	CarAqu	19128	1730	91.70582030875444	167.0352422907489	0	Yes	TRUE
CarAqu_2	CarAqu	0.01X	CarLac	1	500	0.19960079840319359	-1.1428571428571428	0.1265489544735578	No	FALSE
CarAqu_2	CarAqu	0.01X	CarMyr	2	499	0.39920159680638717	-0.8571428571428572	0.195682969153776	No	FALSE
CarAqu_2	CarAqu	0.01X	CarPalm	2	499	0.39920159680638717	-0.8571428571428572	0.195682969153776	No	FALSE
CarAqu_2	CarAqu	0.025X	CarOva	3	1200	0.24937655860349126	-1.157894736842105	0.12345349781237093	No	FALSE
CarAqu_2	CarAqu	0.01X	CarOva	4	497	0.7984031936127743	-0.2857142857142858	0.38754848109799234	No	FALSE
CarAqu_2	CarAqu	0.01X	CarCor	6	495	1.1976047904191618	0.2857142857142858	0.38754848109799234	No	FALSE
CarAqu_2	CarAqu	0.025X	CarLac	6	1197	0.4987531172069825	-0.8421052631578947	0.1998645177506923	No	FALSE
CarAqu_2	CarAqu	0.05X	CarOva	8	2567	0.31067961165048547	-1.1111111111111112	0.1332602629025054	No	FALSE
CarAqu_2	CarAqu	0.025X	CarCor	10	1193	0.8312551953449709	-0.42105263157894723	0.33685832487476197	No	FALSE
CarAqu_2	CarAqu	0.05X	CarLac	11	2564	0.4271844660194175	-0.888888888888889	0.18703139874544122	No	FALSE
CarAqu_2	CarAqu	0.05X	CarCor	13	2562	0.5048543689320388	-0.7407407407407409	0.2294253259647336	No	FALSE
CarAqu_2	CarAqu	0.025X	CarMyr	13	1190	1.0806317539484622	-0.10526315789473681	0.45808349812990407	No	FALSE
CarAqu_2	CarAqu	0.1X	CarLac	14	5076	0.275049115913556	-1.125	0.13029451713680884	No	FALSE
CarAqu_2	CarAqu	0.01X	CarCat	15	486	2.9940119760479043	2.857142857142857	0.0021373669800862803	Yes	FALSE
CarAqu_2	CarAqu	0.025X	CarPalm	15	1188	1.2468827930174564	0.10526315789473703	0.458083498129904	No	FALSE
CarAqu_2	CarAqu	0.1X	CarOva	20	5070	0.3929273084479371	-0.8750000000000001	0.1907869528525106	No	FALSE
CarAqu_2	CarAqu	0.01X	CarIll	20	481	3.992015968063872	4.285714285714286	9.107648574484e-6	Yes	FALSE
CarAqu_2	CarAqu	0.05X	CarMyr	22	2553	0.854368932038835	-0.07407407407407413	0.47047572223260303	No	FALSE
CarAqu_2	CarAqu	0.05X	CarPalm	24	2551	0.9320388349514563	0.07407407407407413	0.47047572223260303	No	FALSE
CarAqu_2	CarAqu	0.1X	CarMyr	32	5058	0.6286836935166994	-0.3750000000000001	0.35383023332727614	No	FALSE
CarAqu_2	CarAqu	0.25X	CarOva	36	11890	0.30186147912124767	-1.0373831775700935	0.1497786575704061	No	FALSE
CarAqu_2	CarAqu	0.1X	CarCor	38	5052	0.7465618860510805	-0.12500000000000008	0.4502617751698871	No	FALSE
CarAqu_2	CarAqu	0.25X	CarLac	40	11886	0.335401643468053	-0.9626168224299066	0.16786992610461504	No	FALSE
