Hybrid_Sample	Companion_Sample	Grouping_Sites	Non_Grouping_Sites	Ratio	Z_Score	P_Val	Significant_Bonferroni
myrxill_1	CarMyr	14456	14497	49.92919559285739	60.381974248927044	0	Yes
myrxill_1	CarIll	12751	16202	44.04034124270369	53.06437768240343	0	Yes
myrxill_1	CarCat	559	28394	1.9307152972058164	0.738197424892704	0.23019724374574027	No
myrxill_1	CarAqu	480	28473	1.6578592891928299	0.3991416309012876	0.34489442433357825	No
myrxill_1	CarPalm	294	28659	1.0154388146306081	-0.3991416309012876	0.34489442433357825	No
myrxill_1	CarCor	174	28779	0.6009739923324008	-0.9141630901287555	0.1803155777232328	No
myrxill_1	CarLac	134	28819	0.4628190515663317	-1.0858369098712448	0.138775576711245	No
myrxill_1	CarOva	105	28848	0.36265671951093154	-1.2103004291845496	0.11308181653044404	No
xbr_1	CarCor	18405	16585	52.60074306944842	45.2149178255373	0	Yes
xbr_1	CarIll	14023	20967	40.07716490425836	34.13527180783818	1.1059247837925416e-255	Yes
xbr_1	CarCat	990	34000	2.829379822806516	1.18204804045512	0.11859331976360823	No
xbr_1	CarAqu	703	34287	2.009145470134324	0.4563843236409608	0.32405681827604604	No
xbr_1	CarPalm	342	34648	0.9774221206058874	-0.4563843236409608	0.32405681827604604	No
xbr_1	CarMyr	273	34717	0.7802229208345242	-0.6308470290771176	0.26407027492387236	No
xbr_1	CarLac	137	34853	0.3915404401257502	-0.9747155499367889	0.1648506887051362	No
xbr_1	CarOva	117	34873	0.33438125178622463	-1.0252844500632112	0.1526144953867501	No
xbr_2	CarCor	13184	11114	54.259609844431644	67.9604221635884	0	Yes
xbr_2	CarIll	9809	14489	40.36957774302412	50.150395778364114	0	Yes
xbr_2	CarAqu	395	23903	1.6256482014980658	0.4722955145118736	0.3183579357792638	No
xbr_2	CarCat	388	23910	1.5968392460284797	0.43535620052770463	0.3316519486201881	No
xbr_2	CarPalm	223	24075	0.9177710099596675	-0.4353562005277044	0.3316519486201882	No
xbr_2	CarMyr	159	24139	0.65437484566631	-0.7730870712401056	0.21973542601650034	No
xbr_2	CarOva	73	24225	0.3004362498971109	-1.2269129287598945	0.10992765934827957	No
xbr_2	CarLac	67	24231	0.2757428594946086	-1.2585751978891822	0.10409190507005339	No
xbr_3	CarCor	14853	13226	52.89718294811069	51.12698412698413	0	Yes
xbr_3	CarIll	11535	16544	41.080522810641405	39.423280423280424	0	Yes
xbr_3	CarAqu	647	27432	2.3042131130025996	1.0176366843033506	0.15442532352394897	No
xbr_3	CarCat	495	27584	1.7628832935645857	0.48148148148148134	0.31508716908375517	No
xbr_3	CarPalm	222	27857	0.7906264468107839	-0.4814814814814815	0.3150871690837551	No
xbr_3	CarMyr	177	27902	0.6303643292140034	-0.6402116402116402	0.26101750810601443	No
xbr_3	CarLac	76	28003	0.2706649097190071	-0.9964726631393298	0.1595102714967532	No
xbr_3	CarOva	74	28005	0.26354214893692796	-1.00352733686067	0.15780324698515874	No
xbrl_1	CarIll	14069	4795	74.58121289228158	60.3460674157303	0	Yes
xbrl_1	CarLac	1673	17191	8.868744698897371	4.633707865168537	1.7958687921315393e-6	Yes
xbrl_1	CarCat	719	18145	3.8114927905004237	0.34606741573033617	0.3646460253240875	No
xbrl_1	CarAqu	669	18195	3.546437659033079	0.12134831460674111	0.45170757660716954	No
xbrl_1	CarOva	615	18249	3.2601781170483464	-0.12134831460674171	0.45170757660716926	No
xbrl_1	CarMyr	496	18368	2.629346904156064	-0.6561797752808991	0.25585423011726	No
xbrl_1	CarPalm	343	18521	1.818278201865988	-1.343820224719101	0.08950326389301246	No
xbrl_1	CarCor	280	18584	1.4843087362171332	-1.626966292134831	0.051872128511429055	No
xila_1	CarIll	35332	2612	93.11617119966266	170.96341463414635	0	Yes
xila_1	CarAqu	1151	36793	3.033417668142526	4.226829268292684	1.1850367928763462e-5	Yes
xila_1	CarCat	552	37392	1.454775458570525	1.304878048780488	0.09596718849501631	No
xila_1	CarCor	346	37598	0.9118701243938435	0.3000000000000001	0.3820885778110473	No
xila_1	CarPalm	223	37721	0.587708201560194	-0.29999999999999993	0.38208857781104744	No
