Study_Sample	Companion_Sample	Grouping_Sites	Non_Grouping_Sites	Ratio	Z_Score	P_Val	Significant_Bonferroni	Match
CarAqu_1	CarOva	121	50876	0.23726885895248742	-1.0132743362831858	0.15546457112826048	No	FALSE
CarAqu_1	CarLac	127	50870	0.24903425691707357	-0.9867256637168141	0.16188857266084267	No	FALSE
CarAqu_1	CarCor	275	50722	0.5392474067101987	-0.331858407079646	0.36999808925957894	No	FALSE
CarAqu_1	CarMyr	350	50647	0.6863148812675256	0	0.5	No	FALSE
CarAqu_1	CarPalm	350	50647	0.6863148812675256	0	0.5	No	FALSE
CarAqu_1	CarCat	920	50077	1.8040276879032102	2.5221238938053094	0.0058324307980710975	Yes	FALSE
CarAqu_1	CarIll	1624	49373	3.184501049081318	5.637168141592919	8.64346531826287e-9	Yes	FALSE
CarAqu_1	CarAqu	47230	3767	92.61329097790066	207.43362831858406	0	Yes	TRUE
CarAqu_2	CarLac	67	32617	0.20499326887773836	-1.0631229235880397	0.1438631050076536	No	FALSE
CarAqu_2	CarOva	86	32598	0.26312568841023126	-0.9368770764119602	0.1744108960394304	No	FALSE
CarAqu_2	CarCor	192	32492	0.5874433973809815	-0.2325581395348837	0.40805226794423843	No	FALSE
CarAqu_2	CarMyr	200	32484	0.6119202056051891	-0.17940199335548157	0.4288110331543047	No	FALSE
CarAqu_2	CarPalm	254	32430	0.7771386611185901	0.17940199335548176	0.42881103315430463	No	FALSE
CarAqu_2	CarCat	838	31846	2.5639456614857425	4.059800664451827	2.455731367287099e-5	Yes	FALSE
CarAqu_2	CarIll	1169	31515	3.5766736017623297	6.259136212624584	1.9355782150142022e-10	Yes	FALSE
CarAqu_2	CarAqu	29878	2806	91.41475951535921	197.01661129568106	0	Yes	TRUE
CarAqu_3	CarOva	75	35919	0.20836806134355723	-1.099397590361446	0.13579734068116206	No	FALSE
CarAqu_3	CarLac	108	35886	0.30005000833472245	-0.9006024096385542	0.18389987648211964	No	FALSE
CarAqu_3	CarCor	218	35776	0.6056564983052731	-0.2379518072289157	0.4059592364584969	No	FALSE
CarAqu_3	CarMyr	233	35761	0.6473301105739846	-0.14759036144578314	0.44133303112154576	No	FALSE
CarAqu_3	CarPalm	282	35712	0.7834639106517752	0.14759036144578294	0.44133303112154587	No	FALSE
CarAqu_3	CarCat	575	35419	1.5974884703006058	1.9126506024096388	0.0278963984829365	No	FALSE
CarAqu_3	CarIll	1209	34785	3.358893148858143	5.731927710843373	4.964779657522246e-9	Yes	FALSE
CarAqu_3	CarAqu	33294	2700	92.49874979163194	199.01506024096383	0	Yes	TRUE
CarCat_1	CarOva	98	280336	0.034945833957366085	-5.486486486486485	2.0500338624067386e-8	No	FALSE
CarCat_1	CarLac	119	280315	0.04243422694823024	-4.35135135135135	6.765051816096809e-6	No	FALSE
CarCat_1	CarMyr	192	280242	0.06846530734504375	-0.40540540540540626	0.34258976916403766	No	FALSE
CarCat_1	CarIll	197	280237	0.07024825805715428	-0.13513513513513487	0.44625251556762957	No	FALSE
CarCat_1	CarAqu	202	280232	0.07203120876926478	0.13513513513513487	0.44625251556762957	No	FALSE
CarCat_1	CarCor	212	280222	0.07559711019348582	0.675675675675676	0.24962329143760967	No	FALSE
CarCat_1	CarPalm	224	280210	0.07987619190255105	1.3243243243243241	0.09269767772173497	No	FALSE
CarCat_1	CarCat	279190	1244	99.5564018628269	15080.567567567565	0	Yes	TRUE
CarCat_2	CarLac	93	220716	0.04211784845726397	-3.760869565217391	8.466185536738952e-5	No	FALSE
CarCat_2	CarOva	113	220696	0.05117545027603042	-2.891304347826086	0.0019182319484215664	No	FALSE
CarCat_2	CarCor	164	220645	0.07427233491388485	-0.6739130434782605	0.2501832995219402	No	FALSE
CarCat_2	CarMyr	167	220642	0.07563097518669981	-0.543478260869565	0.2934002773262912	No	FALSE
CarCat_2	CarIll	192	220617	0.08695297746015787	0.543478260869565	0.2934002773262912	No	FALSE
CarCat_2	CarAqu	196	220613	0.08876449782391116	0.7173913043478262	0.2365663417907058	No	FALSE
CarCat_2	CarPalm	209	220600	0.09465193900610935	1.2826086956521738	0.09981460107853157	No	FALSE
CarCat_2	CarCat	219675	1134	99.48643397687594	9543.282608695652	0	Yes	TRUE
CarCor_2	CarOva	135	40651	0.3309959299759721	-1.0053763440860215	0.15735783313192758	No	FALSE
CarCor_2	CarLac	136	40650	0.33344775167949786	-0.9946236559139785	0.15995966887940902	No	FALSE
CarCor_2	CarIll	179	40607	0.43887608493110386	-0.5322580645161288	0.29727363620853636	No	FALSE
CarCor_2	CarMyr	225	40561	0.551659883293287	-0.03763440860215022	0.48498958662425	No	FALSE
CarCor_2	CarAqu	232	40554	0.5688226352179669	0.0376344086021506	0.48498958662424985	No	FALSE
CarCor_2	CarPalm	360	40426	0.8826558132692591	1.4139784946236564	0.07868410842877699	No	FALSE
CarCor_2	CarCat	660	40126	1.6182023243269748	4.639784946236559	1.7438596534734484e-6	Yes	FALSE
CarCor_2	CarCor	38859	1927	95.27533957730594	415.3817204301076	0	Yes	TRUE
CarCor_3	CarOva	112	33245	0.33576160925742726	-1.2325581395348835	0.10887033138072806	No	FALSE
CarCor_3	CarLac	137	33220	0.4107083970381029	-0.9418604651162791	0.1731320417077984	No	FALSE
CarCor_3	CarAqu	181	33176	0.5426147435320922	-0.4302325581395348	0.33351324026708057	No	FALSE
CarCor_3	CarIll	214	33143	0.6415445034025842	-0.0465116279069765	0.48145123319395283	No	FALSE
CarCor_3	CarMyr	222	33135	0.6655274754924003	0.04651162790697684	0.48145123319395267	No	FALSE
CarCor_3	CarPalm	309	33048	0.9263422969691518	1.058139534883721	0.1449959163042684	No	FALSE
CarCor_3	CarCat	561	32796	1.681805917798363	3.9883720930232562	3.326412849805815e-5	Yes	FALSE
CarCor_3	CarCor	31621	1736	94.79569505650987	365.1511627906977	0	Yes	TRUE
CarCor_4	CarOva	79	21676	0.3631349115145943	-1.1111111111111112	0.1332602629025054	No	FALSE
CarCor_4	CarLac	92	21663	0.4228912893587681	-0.888888888888889	0.18703139874544122	No	FALSE
CarCor_4	CarIll	118	21637	0.5424040450471156	-0.4444444444444445	0.3283606432818852	No	FALSE
CarCor_4	CarMyr	141	21614	0.6481268673868076	-0.051282051282051246	0.47955038514293025	No	FALSE
CarCor_4	CarAqu	147	21608	0.6757067340841186	0.05128205128205157	0.47955038514293014	No	FALSE
CarCor_4	CarPalm	259	21496	1.1905309124339232	1.9658119658119664	0.02466016754067242	No	FALSE
CarCor_4	CarCat	487	21268	2.2385658469317398	5.863247863247865	2.269499389082322e-9	Yes	FALSE
CarCor_4	CarCor	20432	1323	93.91863939324293	346.8034188034189	0	Yes	TRUE
CarCor_5	CarLac	76	21651	0.3497951857136282	-1.1403508771929824	0.12707007472779108	No	FALSE
CarCor_5	CarOva	92	21635	0.4234362774428131	-0.8596491228070174	0.1949912439992425	No	FALSE
CarCor_5	CarIll	124	21603	0.5707184609011828	-0.29824561403508776	0.382757855008529	No	FALSE
CarCor_5	CarAqu	129	21598	0.5937313020665531	-0.21052631578947367	0.41662845741526777	No	FALSE
CarCor_5	CarMyr	153	21574	0.7041929396603305	0.21052631578947367	0.41662845741526777	No	FALSE
CarCor_5	CarPalm	230	21497	1.0585906936070328	1.5614035087719302	0.059214287262106105	No	FALSE
